"First","Last","Player","Team","Season","Min","Shots","SoT","Dist","Solo","Goals","xG","xPlace","G.xG","KeyP","Dist.key","Assts","xA","A.xA","xG.xA","xGperShot","xAperPass","GmxGperShot","AmxAperPass"
"Sebastian","Giovinco","Sebastian Giovinco","TOR",2015,2894,181,71,24.4358622985613,0.397790055248619,22,18.0030384798859,0.917298370454034,3.9969615201141,62,14.3759667133769,13,9.25258801860011,3.74741198139989,27.255626498486,0.0994643009938448,0.149235290622582,0.0220826603321221,0.0604421287322563
"Robbie","Keane","Robbie Keane","LAG",2014,NA,122,54,19.3129285446721,0.155737704918033,19,17.6674368529774,0.975027324795615,1.33256314702261,52,15.8068382515769,9,8.5795021680465,0.420497831953499,26.2469390210239,0.144815056171946,0.164990426308587,0.010922648746087,0.00808649676833652
"Chris","Wondolowski","Chris Wondolowski","SJE",2012,NA,127,55,15.7455884570709,0.236220472440945,27,21.8759360418969,1.28360475440602,5.12406395810307,38,23.1448313095526,5,4.27808194120162,0.721918058798376,26.1540179830986,0.172251464896826,0.112581103715832,0.0403469603000242,0.0189978436525888
"Bradley","Wright-Phillips","Bradley Wright-Phillips","NYRB",2015,2975,113,49,15.7239728854625,0.185840707964602,17,21.8495842982146,1.36654128331951,-4.8495842982146,37,21.4572564706286,6,3.94590007915766,2.05409992084234,25.7954843773723,0.193359153081545,0.106645948085342,-0.042916675205439,0.0555162140768201
"Bradley","Wright-Phillips","Bradley Wright-Phillips","NYRB",2014,NA,109,57,14.8180386801376,0.165137614678899,27,22.9648755698446,3.14984348743904,4.0351244301554,19,19.2028590959474,1,2.12645049577229,-1.12645049577229,25.0913260656169,0.210686931833437,0.11191844714591,0.0370194901849119,-0.0592868681985418
"Nemanja","Nikolic","Nemanja Nikolic","CHI",2017,3069,118,56,16.1924995121367,0.194915254237288,24,22.277043604685,0.154404338124614,1.72295639531499,25,20.6543065469589,3,2.70245009803923,0.297549901960765,24.9794937027242,0.188788505124449,0.108098003921569,0.0146013253840254,0.0119019960784306
"David","Villa","David Villa","NYC",2015,2650,138,63,21.8331126045037,0.239130434782609,18,18.3983205830318,0.659814324760578,-0.398320583031766,51,21.0347001042081,5,6.04541677865162,-1.04541677865162,24.4437373616834,0.133321163645158,0.11853758389513,-0.00288638103646208,-0.0204983682088552
"David","Villa","David Villa","NYC",2016,2943,166,66,19.6378634296655,0.210843373493976,23,19.774886722037,-0.313374605590525,3.22511327796297,47,19.4134827328045,4,4.61528255219136,-0.615282552191358,24.3901692742284,0.119125823626729,0.0981975011104544,0.0194283932407408,-0.013091118131731
"Kei","Kamara","Kei Kamara","CLB",2015,2890,135,57,15.024388011686,0.125925925925926,22,19.6552325634059,-0.736981615744021,2.34476743659409,36,21.6174203209041,6,4.04913204564619,1.95086795435381,23.7043646090521,0.145594315284488,0.112475890156839,0.0173686476784747,0.0541907765098281
"David","Villa","David Villa","NYC",2017,2684,136,55,21.2353655558681,0.294117647058824,22,16.0002505571864,1.85663956664959,5.9997494428136,64,18.9490768649967,5,6.94112504769695,-1.94112504769695,22.9413756048834,0.117648901155782,0.108455078870265,0.0441158047265706,-0.0303300788702648
"Sebastian","Giovinco","Sebastian Giovinco","TOR",2016,2542,176,57,25.0622449217143,0.363636363636364,17,16.0526214738113,-0.108406595796785,0.947378526188693,51,15.0973895642368,14,6.88741964769876,7.11258035230124,22.9400411215101,0.0912080765557461,0.135047444072525,0.00538283253516303,0.139462359849044
"Robbie","Keane","Robbie Keane","LAG",2012,NA,94,43,17.2079439011702,0.202127659574468,16,15.4891444154686,0.788828413654828,0.510855584531351,57,21.7012475330877,8,7.27544164169471,0.724558358305287,22.7645860571634,0.164778132079454,0.127639327047276,0.0054346338779931,0.0127115501457068
"Mike","Magee","Mike Magee","LAG, CHI",2013,NA,114,50,19.6982630131667,0.289473684210526,21,16.1628798482511,4.6382613926728,4.83712015174893,65,19.1399188134923,3,6.25458933661037,-3.25458933661037,22.4174691848614,0.141779647791676,0.0962244513324673,0.0424308785241134,-0.0500706051786211
"Ola","Kamara","Ola Kamara","CLB",2017,2911,89,39,15.4902405266901,0.157303370786517,18,18.1670875618175,-0.59681379440309,-0.167087561817538,26,19.5280366698485,3,3.49613635417309,-0.496136354173091,21.6632239159906,0.204124579346264,0.134466782852811,-0.00187738833502852,-0.0190821674681958
"Diego","Valeri","Diego Valeri","POR",2017,3002,93,39,21.1098607982268,0.279569892473118,21,13.8830487057179,4.0322762355271,7.11695129428214,68,17.8745562651793,9,7.61469456016688,1.38530543983312,21.4977432658847,0.149280093609869,0.111980802355395,0.0765263580030338,0.0203721388210752
"Fanendo","Adi","Fanendo Adi","POR",2016,2816,88,36,13.4980005123049,0.227272727272727,16,18.2732848230997,-2.91025916438995,-2.27328482309965,40,21.9939130654283,0,2.84097891237244,-2.84097891237244,21.1142637354721,0.20765096389886,0.0710244728093109,-0.0258327820806779,-0.0710244728093109
"Pedro","Morales","Pedro Morales","VAN",2014,NA,104,39,27.6810870574231,0.423076923076923,10,12.211975052293,-0.444548715281163,-2.21197505229304,86,19.0449869142907,10,8.8025510230768,1.1974489769232,21.0145260753698,0.117422837041279,0.102355244454381,-0.021268990887433,0.0139238253130605
"Federico","Higuain","Federico Higuain","CLB",2013,NA,86,31,27.2582185909302,0.372093023255814,11,11.2852452547976,-1.44775205486964,-0.285245254797592,118,19.030898072339,9,9.70015861574898,-0.700158615748981,20.9854038705466,0.13122378203253,0.082204734031771,-0.00331680528834409,-0.00593354759109306
"Joao","Plata","Joao Plata","RSL",2017,2322,95,29,21.2149142102029,0.231578947368421,7,13.2977752163608,-4.41929993646045,-6.29777521636075,81,19.3268445484946,4,7.51887950274032,-3.51887950274032,20.8166547191011,0.13997658122485,0.0928256728733372,-0.0662923706985342,-0.0434429568239545
"Clint","Dempsey","Clint Dempsey","SEA",2014,NA,113,47,20.7809873041593,0.283185840707965,15,15.7676551949226,1.19387626561444,-0.767655194922602,45,21.5352774572444,7,4.96952254269046,2.03047745730954,20.7371777376131,0.139536771636483,0.11043383428201,-0.00679340880462479,0.0451217212735452
"Obafemi","Martins","Obafemi Martins","SEA",2014,NA,78,36,16.5280255757051,0.115384615384615,17,14.3225822907019,1.274389223945,2.67741770929808,56,20.3564059663571,12,6.29692897126437,5.70307102873563,20.6195112619663,0.183622849880794,0.112445160201149,0.0343258680679241,0.101840554084565
"Landon","Donovan","Landon Donovan","LAG",2014,NA,66,24,19.8721293657727,0.318181818181818,10,9.43635125335744,1.20484034145343,0.563648746642562,110,18.9353088347364,14,11.0884961977965,2.91150380220353,20.5248474511539,0.142975018990264,0.100804510889059,0.0085401325248873,0.0264682163836684
"Dominic","Dwyer","Dominic Dwyer","SKC",2014,NA,113,48,17.2061398925487,0.221238938053097,22,18.9863762925367,0.343347201507047,3.01362370746334,18,20.4861651777778,1,1.51605294237851,-0.516052942378514,20.5024292349152,0.168021029137493,0.084225163465473,0.0266692363492331,-0.0286696079099175
"Dwayne","De Rosario","Dwayne De Rosario","TOR, NYRB, DCU",2011,NA,112,44,23.1520609293214,0.330357142857143,16,13.5790856050676,-0.614527745610541,2.42091439493237,58,22.4904148345,10,6.78107460997484,3.21892539002516,20.3601602150425,0.121241835759532,0.116915079482325,0.0216153070976104,0.0554987136211235
"Ola","Kamara","Ola Kamara","CLB",2016,1979,80,37,14.816233000221,0.1875,16,17.4738537118703,1.73316569415874,-1.47385371187028,16,15.2814653791539,2,2.88255625649476,-0.882556256494759,20.356409968365,0.218423171398378,0.180159766030922,-0.0184231713983785,-0.0551597660309224
"Bradley","Wright-Phillips","Bradley Wright-Phillips","NYRB",2016,2899,104,54,15.9177710426264,0.105769230769231,24,17.0243730515047,5.62310637204058,6.97562694849526,36,20.043788757625,4,2.98603997131997,1.01396002868003,20.0104130228247,0.163695894726007,0.0829455547588881,0.0670733360432237,0.028165556352223
"Diego","Valeri","Diego Valeri","POR",2016,2770,111,37,24.4917432403622,0.333333333333333,14,10.6961026730619,1.25773003625155,3.30389732693807,86,15.707612864339,6,9.28761893459061,-3.28761893459061,19.9837216076525,0.0963612853429003,0.107995569006868,0.0297648407832258,-0.0382281271464024
"Robbie","Keane","Robbie Keane","LAG",2013,NA,65,29,20.7570314208154,0.215384615384615,16,10.7094535703595,2.91185238646825,5.29054642964046,54,17.5947178875556,10,9.26495706193756,0.735042938062441,19.9744106322971,0.164760824159378,0.17157327892477,0.0813930219944686,0.0136119062604156
"Landon","Donovan","Landon Donovan","LAG",2012,NA,65,29,20.2889051604615,0.230769230769231,9,9.80419302314355,0.996309334039367,-0.804193023143548,79,18.496940821038,13,9.77897730635441,3.22102269364559,19.583170329498,0.150833738817593,0.123784522865246,-0.0123722003560546,0.0407724391600708
"Kei","Kamara","Kei Kamara","SKC",2012,NA,134,49,18.3528193588582,0.253731343283582,11,13.7765645966371,-0.0978804755454075,-2.77656459663705,56,20.7241888283929,7,5.6783483381106,1.3216516618894,19.4549129347477,0.102810183556993,0.101399077466261,-0.020720631318187,0.0236009225337392
"Clint","Dempsey","Clint Dempsey","SEA",2017,2395,116,39,20.3435966884197,0.258620689655172,12,14.9853893947813,-1.71014059041507,-2.98538939478135,42,20.6322228582361,4,4.44018836750875,-0.440188367508746,19.4255777622901,0.129184391334322,0.10571877065497,-0.025736115472253,-0.0104806754168749
"Fredy","Montero","Fredy Montero","VAN",2017,2580,86,34,17.3677736363293,0.36046511627907,13,14.5661791002312,0.856513647734955,-1.56617910023116,36,20.184221197986,6,4.54370091366574,1.45629908633426,19.1098800138969,0.169374175584083,0.126213914268493,-0.0182113848864089,0.040452752398174
"Diego","Valeri","Diego Valeri","POR",2014,NA,104,42,24.3466092957692,0.278846153846154,11,7.87631458923972,0.561626695903404,3.12368541076028,101,17.471788555703,10,10.965721924532,-0.965721924532033,18.8420365137718,0.075733794127305,0.108571504203287,0.0300354366419258,-0.00956160321318844
"Bradley","Wright-Phillips","Bradley Wright-Phillips","NYRB",2017,2684,83,33,15.2127195241744,0.180722891566265,17,15.3946844287359,1.78780833528811,1.60531557126413,31,20.9375968599835,1,3.33913140891433,-2.33913140891433,18.7338158376502,0.18547812564742,0.107713916416591,0.0193411514610136,-0.0754558519004623
"Sebastien","Le Toux","Sebastien Le Toux","PHI",2011,NA,81,30,21.6503402837037,0.419753086419753,11,10.8257818814018,-0.137305000080115,0.174218118598236,65,18.1155926732462,7,7.84794896297254,-0.84794896297254,18.6737308443743,0.133651628165454,0.120737676353424,0.0021508409703486,-0.013045368661116
"Thierry","Henry","Thierry Henry","NYRB",2013,NA,92,29,19.973892014837,0.184782608695652,10,9.80207382113111,-0.240725272679418,0.197926178868889,70,14.2634971016429,8,8.52756775527375,-0.527567755273755,18.3296415764049,0.106544280664469,0.121822396503911,0.00215137150944445,-0.00753668221819649
"Camilo","Da Silva Sanvezzo","Camilo Da Silva Sanvezzo","VAN",2013,NA,123,55,23.5952492339431,0.382113821138211,22,15.0538030328912,3.80931754118237,6.94619696710882,37,18.6594206732703,5,3.21818316882057,1.78181683117943,18.2719862017118,0.122388642543831,0.0869779234816372,0.0564731460740554,0.048157211653498
"Sacha","Kljestan","Sacha Kljestan","NYRB",2015,2971,58,22,22.7018968352399,0.46551724137931,8,9.04218640287589,-1.17494267874902,-1.04218640287589,80,16.9851561102689,9,9.22633261778541,-0.226332617785411,18.2685190206613,0.155899765566826,0.115329157722318,-0.0179687310840671,-0.00282915772231764
"Chris","Wondolowski","Chris Wondolowski","SJE",2015,2842,91,38,15.5142374592139,0.274725274725275,16,15.9166885955659,0.713679428541541,0.0833114044341189,19,20.6021849789852,2,2.30245316379952,-0.302453163799517,18.2191417593654,0.174908665885339,0.121181745463132,0.000915509938836472,-0.0159185875683956
"Dominic","Dwyer","Dominic Dwyer","SKC",2016,2996,118,44,17.776695192683,0.194915254237288,16,15.7476091856733,1.19303169581885,0.25239081432671,21,19.1863132752523,2,2.43720532110275,-0.43720532110275,18.184814506776,0.133454315132824,0.116057396242988,0.00213890520615856,-0.0208193010048928
"Will","Bruin","Will Bruin","HOU",2013,NA,98,30,16.6389868873673,0.153061224489796,8,13.4300479710275,-3.56969380678908,-5.43004797102755,39,19.9280609194872,7,4.74432634022255,2.25567365977745,18.1743743112501,0.137041305826812,0.12164939333904,-0.0554086527655872,0.0578377861481398
"Nicolas","Lodeiro","Nicolas Lodeiro","SEA",2017,3111,67,19,24.2151676745915,0.417910447761194,7,6.90992879570134,-1.01731861168028,0.0900712042986637,93,16.463804180627,9,11.2541136605932,-2.25411366059322,18.1640424562946,0.103133265607483,0.121011974845088,0.00134434633281588,-0.0242377812967013
"C.J.","Sapong","C.J. Sapong","PHI",2017,2964,67,33,13.3596359926238,0.223880597014925,16,14.8140659566771,1.25466304568022,1.18593404332287,30,21.5709736540703,4,3.24056963453771,0.759430365462287,18.0546355912148,0.221105462039957,0.108018987817924,0.0177005081092965,0.0253143455154096
"Ignacio","Piatti","Ignacio Piatti","MTL",2016,2976,95,42,21.5590337272957,0.231578947368421,17,11.3409375075348,1.84814594583602,5.65906249246517,60,20.0514811491777,4,6.43711134570832,-2.43711134570832,17.7780488532431,0.119378289552998,0.107285189095139,0.0595690788680545,-0.040618522428472
"Chris","Wondolowski","Chris Wondolowski","SJE",2016,2851,78,31,14.0587342639274,0.243589743589744,12,15.2283019159052,-2.05911620962595,-3.22830191590515,22,19.6229811585935,3,2.49489089977367,0.505109100226328,17.7231928156788,0.195234639947502,0.113404131807894,-0.0413884861013481,0.0229595045557422
"Kei","Kamara","Kei Kamara","CLB, NER",2016,2803,106,34,15.5463850879249,0.188679245283019,12,13.9470273047373,-2.09399304064462,-1.94702730473728,28,19.2043350956517,2,3.77160114055369,-1.77160114055369,17.718628445291,0.131575729289974,0.13470004073406,-0.0183681821201631,-0.0632714693054888
"Federico","Higuain","Federico Higuain","CLB",2014,NA,72,24,23.3718278103056,0.416666666666667,11,10.7945577042172,-1.00723787587992,0.205442295782836,89,19.7922750916629,6,6.74644179519925,-0.746441795199246,17.5409994994164,0.149924412558572,0.0758027167999915,0.00285336521920605,-0.00838698646291288
"Chris","Wondolowski","Chris Wondolowski","SJE",2011,NA,109,52,17.8529737642752,0.256880733944954,16,15.3108888582581,3.20961086950107,0.689111141741918,29,23.870544197931,3,2.21616305854262,0.783836941457377,17.5270519168007,0.140466870259248,0.0764194158118146,0.00632212056643961,0.0270288600502544
"Jordan","Morris","Jordan Morris","SEA",2016,2975,71,34,15.7977609181044,0.140845070422535,12,12.9418950542433,-2.7970790821088,-0.94189505424325,31,19.2824983514441,3,4.4858755737916,-1.4858755737916,17.4277706280348,0.182280212031595,0.144705663670697,-0.0132661275245528,-0.0479314701223096
"Brad","Davis","Brad Davis","HOU",2011,NA,49,15,26.1726330261633,0.448979591836735,4,4.90219880934435,0.00979564298990265,-0.902198809344347,118,15.9928289812627,12,12.5087725238529,-0.508772523852905,17.4109713331973,0.100044873660089,0.106006546812313,-0.0184122205988642,-0.00431163155807547
"Chris","Wondolowski","Chris Wondolowski","SJE",2017,3188,78,28,15.7574837593027,0.179487179487179,13,11.3249879759108,1.38473888341636,1.67501202408922,39,18.7999779938964,8,5.96738882082687,2.03261117917313,17.2923767967376,0.145192153537318,0.153009969764791,0.021474513129349,0.0521182353634137
"Thierry","Henry","Thierry Henry","NYRB",2014,NA,86,28,20.5103668056744,0.244186046511628,10,7.29659781444462,-0.188468335567802,2.70340218555538,76,16.0818754440789,10,9.95577436652896,0.0442256334710399,17.2523721809736,0.084844160633077,0.130997031138539,0.0314349091343649,0.000581916229882104
"Erick","Torres","Erick Torres","CHV",2014,NA,95,32,17.9383762098,0.315789473684211,15,15.8387068970986,0.187344310305967,-0.838706897098622,20,22.663229506,1,1.37159059494234,-0.371590594942338,17.210297492041,0.166723230495775,0.0685795297471169,-0.0088284936536697,-0.0185795297471169
"Robbie","Keane","Robbie Keane","LAG",2015,2172,73,38,18.3162712937892,0.164383561643836,20,12.4817064965404,4.88426599583748,7.51829350345958,30,17.3485595951088,7,4.59517558881755,2.40482441118245,17.076882085358,0.170982280774526,0.153172519627252,0.1029903219652,0.0801608137060816
"Fanendo","Adi","Fanendo Adi","POR",2015,2266,85,36,15.57139107613,0.188235294117647,16,14.0524317017451,1.20187082826725,1.94756829825491,40,24.5132939528567,2,3.00036000103594,-1.00036000103594,17.052791702781,0.165322725902883,0.0750090000258985,0.0229125682147636,-0.0250090000258985
"Chris","Wondolowski","Chris Wondolowski","SJE",2013,NA,101,44,14.9978965178911,0.178217821782178,11,13.7582033125129,-1.46602987768806,-2.75820331251291,39,22.4489053435897,2,3.09732406304849,-1.09732406304849,16.8555273755614,0.136219834777356,0.0794185657191922,-0.0273089436882467,-0.0281365144371409
"Deshorn","Brown","Deshorn Brown","COL",2014,NA,120,45,19.0731952802917,0.2,10,15.5764866407783,-0.584388425086651,-5.57648664077834,15,21.5662186911333,0,1.26154077420597,-1.26154077420597,16.8380274149843,0.129804055339819,0.0841027182803979,-0.0464707220064862,-0.0841027182803979
"Alvaro","Saborio","Alvaro Saborio","RSL",2012,NA,87,40,16.6690829371379,0.218390804597701,17,14.8655688097627,-0.0293524580609006,2.13443119023733,16,22.96919817875,3,1.82505989220725,1.17494010779275,16.6906287019699,0.170868607008766,0.114066243262953,0.0245336918418084,0.073433756737047
"Romain","Alessandrini","Romain Alessandrini","LAG",2017,2574,96,41,25.1730383041894,0.21875,13,8.45118093708175,1.02810900756199,4.54881906291825,70,12.9591865506614,11,8.22810629044941,2.77189370955059,16.6792872275312,0.0880331347612682,0.117544375577849,0.0473835319053985,0.0395984815650084
"Jozy","Altidore","Jozy Altidore","TOR",2017,2271,68,30,16.9707602705867,0.191176470588235,15,12.2777560466021,1.65210901523697,2.7222439533979,37,20.8541013369907,6,4.36939199510016,1.63060800489984,16.6471480417023,0.180555235979443,0.118091675543247,0.040032999314675,0.0440704866189147
